Timestamp,Yaw,Pitch,Roll,Qtn[0], Qtn[1], Qtn[2], Qtn[3],Rate X,Rate Y,Rate Z,Accel X,Accel Y,Accel Z,Mag X,Mag Y,Mag Z,Temp,Pres,dTime,dTheta X,dTheta Y,dTheta Z,dVel X,dVel Y,dVel Z,MagNed X,MagNed Y,MagNed Z,AccelNed X,AccelNed Y,AccelNed Z,LinearAccel X,LinearAccel Y,LinearAccel Z,LinearAccelNed X,LinearAccelNed Y,LinearAccelNed Z,Amplitude,Distance,Light 1,Light 2,Light 3,Light 4,Comments
583.63,-141.452,1.16723,-179.073,0.329983,-0.943897,0.00427032,-0.0122836,-0.0517783,0.0118349,-0.0586598,1.21696,2.29713,86.4926,0.976821,0.683233,-0.398779,43.97,100.976,0.025,-0.0382264,0.0129168,0.11006,0.0307595,0.070515,2.15252,-1.19971,-0.0742052,0.367699,-0.132871,1.04248,-86.5252,1.01745,2.13878,76.7021,-0.132871,1.04248,-76.7315,0,1000,0,0,0,0,
583.655,-141.445,1.14803,-179.142,0.330051,-0.94388,0.00376278,-0.0119291,-0.0310115,-0.0166751,-0.133627,-0.320764,0.072549,88.0392,0.97427,0.689924,-0.386294,43.97,100.989,0.025,-0.0644801,0.0224239,0.00669483,-0.0152964,0.0221363,2.18508,-1.20119,-0.0678181,0.356319,2.40685,0.324522,-88.0063,-0.516988,-0.0741386,78.2485,2.40685,0.324522,-78.2125,0,1000,0,0,0,0,
583.68,-141.034,1.15916,-179.221,0.333437,-0.942694,0.00303334,-0.0118027,-0.0910197,-0.0138468,0.0423249,0.852255,2.51327,88.7372,0.975548,0.687272,-0.386194,43.97,100.976,0.024999,-0.0838799,-0.0136543,-0.395679,0.0151982,0.0660986,2.20428,-1.19974,-0.0797508,0.357004,-0.0881793,1.60949,-88.7623,0.65413,2.38018,78.9464,-0.0881793,1.60949,-78.9685,0,1000,0,0,0,0,
583.707,-141.164,1.14929,-179.243,0.332374,-0.943071,0.00289306,-0.0116538,0.0135209,0.00330476,0.113581,-0.719751,2.48487,89.2355,0.975558,0.685939,-0.38758,43.96,100.989,0.025001,-0.0155973,0.0149578,0.145122,0.0099924,-0.00817605,2.21961,-1.19899,-0.0781622,0.358844,1.136,2.59143,-89.2282,-0.91619,2.35555,79.4446,1.136,2.59143,-79.4344,0,1000,0,0,0,0,
583.732,-141.238,1.14837,-179.276,0.331764,-0.943288,0.0026317,-0.0115488,-0.0162237,0.00716963,0.0506059,-0.115137,-0.366223,89.6491,0.97681,0.687268,-0.388976,43.97,100.976,0.024999,-0.0275652,0.00523168,0.0902447,0.0113846,0.0331228,2.23682,-1.20079,-0.0765247,0.360611,2.42875,0.0283474,-89.617,-0.311418,-0.489897,79.8581,2.42875,0.0283474,-79.8232,0,1000,0,0,0,0,
583.757,-141.307,1.15618,-179.281,0.3312,-0.943486,0.00257321,-0.0115965,-0.0155614,0.00292569,0.0608948,0.892376,1.68403,90.3519,0.97434,0.68064,-0.383279,43.97,100.976,0.025,0.000106918,-0.00361425,0.0837838,0.00744988,0.0311671,2.25197,-1.1947,-0.0787624,0.354978,0.382394,1.01213,-90.3655,0.694759,1.56125,80.5609,0.382394,1.01213,-80.5718,0,1000,0,0,0,0,
583.782,-141.403,1.16963,-179.283,0.330402,-0.943764,0.00252958,-0.0117,0.0077629,-0.0115795,0.0809678,0.904745,1.54956,90.8504,0.974327,0.680594,-0.393166,43.955,100.964,0.025,0.00412727,-0.00889054,0.112652,0.00319489,0.0214108,2.26574,-1.19508,-0.076863,0.364653,0.484967,0.915551,-90.8622,0.70483,1.42708,81.0594,0.484967,0.915551,-81.0685,0,1000,0,0,0,0,
583.808,-141.538,1.1871,-179.284,0.329291,-0.944151,0.00248914,-0.0118395,0.0132065,-0.0187335,0.104194,0.217711,0.531335,91.1867,0.974352,0.677963,-0.387462,43.97,100.964,0.025001,0.00623189,-0.0124305,0.150885,0.00485058,0.0252893,2.27625,-1.19359,-0.0761826,0.358689,1.68732,0.563125,-91.1711,0.0148114,0.408937,81.3958,1.68732,0.563125,-81.3774,0,1000,0,0,0,0,
583.833,-141.705,1.21284,-179.271,0.327912,-0.944628,0.00253829,-0.0120848,0.00906297,-0.0213648,0.13145,-0.0884637,0.710322,91.592,0.975598,0.680628,-0.387473,43.9775,100.968,0.025,0.0202453,-0.0202933,0.182847,0.0074386,0.0298648,2.28428,-1.19661,-0.0714156,0.358046,1.87303,0.899048,-91.5712,-0.295763,0.585737,81.8013,1.87303,0.899048,-81.7775,0,1000,0,0,0,0,
583.858,-141.918,1.25044,-179.245,0.326147,-0.945233,0.00266601,-0.0124634,0.0171098,-0.0270477,0.167623,0.165603,1.33354,91.9692,0.973066,0.680599,-0.390385,43.97,100.964,0.024999,0.0342657,-0.031487,0.229451,0.00739013,0.0258276,2.29652,-1.19522,-0.0654384,0.36006,1.37443,1.23187,-91.9605,-0.0481216,1.20455,82.1786,1.37443,1.23187,-82.1667,0,1000,0,0,0,0,
